lunch,enrol,math4,math7
34.02,423,40,44.8
34.94,413,57.1,62.5
36.39,404,61,52
38.57,414,76,56
28.6,1239,39.8,38.1
33,1222,30.3,34.5
31.8,1224,53.4,20
37.94,1219,62,37.6
34.4,1214,72.1,44.6
33.2,1207,55,59
33.47,1226,70,61
19.7,871,31.8,32.2
19,1007,41.5,26.4
21.8,1007,45.2,40.3
23.85,876,65,46.7
17.95,910,60.4,44.8
22.64,967,53,40
24.44,968,74,70
26,1679,41.2,34.3
25.6,1696,47.1,36
26.2,1660,54.9,48.3
25.78,1611,54.2,47.3
25.56,1647,52.9,52
30.22,1629,55,43
29.82,1604,70,65
30.7,1478,30.6,36.2
32,1507,26.8,33.7
30.4,1509,40.4,72.2
33.61,1449,62.8,45
36.31,1463,60.9,58.8
34.04,1415,61,47
34.07,1395,79,50
29.5,774,24.5,25
26.3,747,41.7,30.3
27,725,48.3,24.5
26.75,739,67.7,39.2
27.27,763,51.2,47.7
29.77,775,48,43
31.37,719,76,73
24.1,2619,26.9,27.8
27.2,2580,38.5,17.6
31.6,2644,37.2,28.7
30.22,2406,52.5,32.9
26.92,2317,56.3,50
29.76,2251,49,47
26.52,2095,78,61
21,1195,23.8,20.4
22,1202,37.5,40.9
23.8,1203,33.8,42.4
26.24,1180,61.4,43.2
24.3,1180,35.7,50
25.91,1198,41,39
27.68,1234,53,45
29.9,580,23.3,35.1
33.2,578,12.5,34.8
33.5,588,28.6,43.6
31.27,632,32.7,27.3
29.26,647,36.6,27.3
30.97,660,47,32
33.44,656,49,53
19.2,612,17.6,14.3
23.8,598,29.8,21.1
23.2,584,25.5,27.1
22.15,608,41.7,30.6
22.63,623,43.2,54.8
20.06,621,40,30
23.62,594,43,67
29.3,852,17.5,23.9
28.7,888,36.8,26.2
28.8,868,50,29.8
26.71,852,47.6,38.1
26.99,831,64.3,48.2
24.64,845,47,45
29.05,859,75,61
30.4,973,31.3,22.2
28.6,995,23.1,33
27.3,1004,27.6,26.8
32.28,1025,49.4,42.7
31.66,1045,36.7,26.1
30.86,1060,35,39
32.22,1049,63,42
34.9,499,8.3,23.4
38.6,507,12.5,17.4
37.5,477,69.2,43.8
37.5,462,57.7,37.5
36.53,499,48.6,39.3
41.25,466,49,24
41.57,433,62,50
33.4,1044,54.1,54.1
29.1,1084,63.3,47.5
32.6,1061,57.3,61.4
32.45,1063,62.9,60.5
31.68,1049,66.7,63.3
32.99,1084,80,61
31.74,1093,87,72
50.2,470,37.5,36.1
49.2,488,25.6,60.5
42.9,490,31.1,42.9
40.28,539,71.4,52.8
44.96,531,67.4,41.7
41.51,537,48,56
46.34,533,64,63
44.4,1686,48.4,48.4
45.4,1686,58.4,50.9
46,1682,60.8,49.6
52,1691,59.8,59.4
48.45,1749,59.9,66.4
46.03,1763,65,56
50.54,1742,69,53
0,313,55.6,58.6
41.1,333,48,57.1
41.7,346,52.2,34.8
35.11,356,69.6,36.8
44.48,354,76.7,50
37.82,357,63,56
37.85,325,57,50
28.9,314,51.6,29.6
30,310,29.4,68
13,306,32.3,50
23.93,305,42.9,65.5
25.93,298,37.5,50
28.25,315,67,56
32.6,301,95,48
21.7,1227,61.5,46.3
27.2,1234,54.5,48.8
26.3,1235,66.7,67.5
28,1242,68.8,65.5
25.67,1271,74.7,64.4
22.52,1284,67,80
26.49,1324,83,79
32.6,658,31.4,43.9
34.1,621,23.6,27.5
34,617,59.2,43.6
30.76,604,50,76
31.06,596,62.8,56.3
32.5,606,28,62
33.62,586,89,71
45.5,291,32,17.4
54.9,298,47.6,30
54.3,299,52.9,41.7
48.51,199,60.9,44
49.51,204,82.4,80
48.39,185,71,79
38.04,184,94,82
26.9,1509,50.4,64.8
28.4,1523,37.2,50.8
31.8,1569,58.3,57.5
28.02,1635,74.5,59.7
26.05,1565,76,63.4
27.84,1581,70,75
26.89,1528,89,87
30.2,277,23.1,37.5
36.3,286,37,52.6
33.6,284,73.7,50
43.49,290,52.2,46.2
40.69,313,63.2,77.8
41.45,301,79,83
42.9,301,72,88
31.6,1314,39.6,42.6
35,1337,48.1,54.1
33.6,1373,39.6,50.5
39.83,1375,69,48.1
38.48,1392,57.1,67.8
35.92,1376,76,55
37.41,1340,89,79
20.1,916,33.3,30.6
23.4,913,40.9,44.9
22.8,908,48.1,41.7
25.4,922,45.7,48.1
27.01,917,78.7,47.1
23.22,883,62,52
25.41,860,72,70
31.4,724,52.4,28.6
33.9,729,60.8,29.2
35.7,723,71.7,40.5
38.66,721,70,30.6
37.02,719,80,37.7
33.48,688,92,61
33.7,643,75,86
30.5,302,52.4,37.5
39,340,68,19
34.4,323,65.4,42.9
31.09,320,66.7,51.7
34.25,319,62.5,64
36.89,307,62,42
39.74,302,73,32
35.3,118,33.3,33.3
40.6,131,54.5,60
37.5,124,37.5,50
41.29,152,31.3,100
28.57,147,66.7,72.7
36.73,147,43,44
37.72,162,50,39
26,1028,51.7,45.8
29.5,984,41,41.7
28.6,971,60.3,52.4
29.5,910,68.2,76.7
32.77,939,61.8,73.4
32.71,905,55,58
37.57,919,79,65
20.1,4111,59.1,61.2
19.4,3976,65.3,61.5
19.4,3970,69.1,64
19.1,4003,70.8,77
20.12,3916,76.1,75.2
19.61,3938,66,67
18.09,3752,87,81
42.7,22752,27.5,25.2
47.7,22392,31.9,24.4
50.9,21949,31.5,22.9
50.36,20399,40.7,29.1
53.56,20337,40.6,34.1
54.87,19331,40,31
52.62,19049,60,42
9.9,873,48.5,56.1
8.8,891,46.5,48.6
11.8,891,50,52.8
10.77,886,82.4,69.8
11.85,882,68.1,69.1
10.17,862,74,70
9.96,882,83,70
7.6,2587,57.7,46.2
8.4,2629,61.9,53.2
9.5,2699,63.5,67.4
9.06,2538,72.8,78.2
8.54,2607,81,75.4
7.04,2704,79,67
8.51,2799,84,84
10.3,4927,32.2,32.7
11.4,5005,44.2,41.6
11.5,5097,43.9,55.1
12.66,5063,54.8,55.1
11.96,5255,58.6,78.5
12.53,5392,61,72
13.59,5322,70,73
20.4,1592,26.6,27.9
27.8,1575,34.2,36.7
32.6,1579,36.1,19.2
30.16,1523,37.4,31.9
28.35,1501,38.9,36.9
27.45,1472,27,40
28.23,1480,45,54
10.7,3395,56.2,55.5
11.7,3427,58.5,55.3
11.8,3380,75.1,66
13.55,3423,85.6,70.4
13.76,3426,88.8,73.6
15.2,3493,75,69
14.35,3404,87,82
4.6,4031,50.9,70.5
5.5,4046,62.5,63.8
6.8,4144,69,67.2
6.22,4178,70.1,78.7
6.89,4323,80.2,77.3
6.96,4284,76,71
6.61,4303,90,87
11.3,3294,39.6,38.2
11.1,3268,59.3,52.4
13.8,3233,70,66.3
14.27,3270,73.7,64.6
14.04,3249,83.3,76.5
12.58,3295,73,63
17.34,3321,77,73
14.8,935,46.9,26.1
17.8,880,48.5,44.9
17.5,874,65,28.6
15.32,838,63.3,62
15.59,817,53.8,58.2
13.54,806,57,49
18.05,781,58,45
6.7,1637,50.8,48.5
6.3,1673,68.1,49.2
8,1694,64.8,66.1
7.57,1756,69.7,60.5
8.38,1761,60.8,64.8
7.16,1784,81,57
6.07,1826,84,71
30,3408,37,34.8
32.7,3482,48,39.8
32.6,3453,51.9,40.3
33.06,3510,62.8,49.6
34.12,3540,83.1,68
35.63,3524,78,61
36.81,3467,86,68
39.5,245,12,20
38.4,268,42.9,18.8
38.4,265,28.6,20
40.56,184,56.3,33.3
38.02,194,53.6,33.3
34.43,177,33,62
39,197,40,63
34,2574,29.5,37.6
29.9,2606,36.2,34.5
31.6,2574,47.7,30.8
29.77,2534,42.4,38.8
26.45,2545,46.7,37.3
27.59,2593,41,36
26.95,2618,63,49
21.5,2823,47.7,47.4
21.1,2840,56,50.5
27.2,2816,67.8,57.8
24.2,2791,66.5,54.8
21.71,2814,70.4,60.3
23.25,2842,65,60
24.55,2839,81,66
14.8,1877,58.4,44.4
14.4,1844,63.5,56.7
14.2,1865,58.9,63.3
14.92,1820,75.8,68.2
14.2,1840,82.3,78.8
15.76,1926,71,75
15.78,1941,80,83
17.7,1172,35.5,42
18.4,1210,35.9,53.3
23.4,1236,36.6,53.3
24.88,1203,59.4,55.7
22.33,1236,47.9,60
17.07,1229,54,56
18.58,1230,73,83
0,77,28.6,
0,68,25,
0,72,16.7,0
0,29,33.3,0
0,30,100,0
0,28,50,
0,30,100,
37,3487,26.4,29.4
40.4,2732,34.1,31.3
43.5,2229,40.6,37.1
45.82,2231,38.6,47.5
42.64,2297,47.1,45.2
44.72,2217,35,45
48.8,2256,66,74
46.7,781,27.1,16.4
46,761,25,17.3
49.1,762,38.6,31.5
51.19,761,53.2,41.9
52.96,778,55.9,43.3
51.82,768,37,47
53.86,822,66,62
25.7,1761,24.1,35.8
27.4,1765,36.7,47.4
26,1710,49.6,51.2
32.07,1730,64.7,59
26.54,1777,69.2,61.8
27.6,1832,46,67
27.1,1827,85,79
57.4,1917,20.5,24
51.2,1964,35.1,20.4
54.8,1931,35.4,16.7
56.46,1486,41.5,18
54.56,1477,29.3,43.2
54.18,1537,31,27
58.06,1498,44,41
35.9,758,41.9,55.8
29.6,751,70.5,54.9
28.3,761,67.9,41.3
29.78,776,73.3,42.9
31.68,746,48.3,70.3
30.48,760,77,49
28.7,753,92,79
31.1,1533,45.5,29.8
31.3,1514,48.5,33
32.5,1537,43.2,37.5
34.57,1485,55.9,48.1
37.36,1509,49.5,53.1
34.34,1485,53,55
35.58,1456,63,51
24.1,4846,46.2,45.4
25.5,4663,56.6,47.8
25,4607,58.8,48.3
27.08,4346,63.2,52.2
24.78,4405,63.6,69.3
26.17,4352,64,56
24.69,4325,73,64
26.1,517,17.9,19.6
25.2,507,46.4,38.5
28.2,503,32,37.3
26.43,524,67.7,54.7
26.13,538,42.9,64.2
24.91,538,33,69
24.29,592,95,77
26.7,2019,37.8,19.2
28.7,2009,43.9,22.2
28.6,1932,50,36.4
30.73,1895,62,37.6
26.06,1895,58.9,51.4
27.34,1894,63,49
30.49,1808,68,59
17.2,2240,41.9,45.7
19.3,2295,43.1,44.9
18.7,2277,58.4,56.5
18.69,2262,63.1,64.2
17.92,2350,55,54.5
16.37,2474,62,48
18.12,2629,74,68
19,936,41.4,30.3
22.7,943,35,18.3
23,908,41.9,34.2
23.79,932,58.3,38
22.05,998,59.7,34.9
24.56,1065,44,48
33.56,1151,70,28
10.4,1990,37.7,26.4
12,2054,40.1,23.4
13.5,2014,45.3,26
12.29,1984,47.4,47.4
14.48,1928,51.9,54.1
15.82,1903,41,40
17.37,1940,56,50
10.2,814,37.3,32.8
13.1,808,28.1,25.5
12,821,42.1,32.8
11.53,863,62.2,36.1
10,870,43.1,32.9
9.65,889,34,39
10.72,905,49,53
13.4,975,41.9,61.4
15.7,946,49.3,56.5
14.5,954,45.9,53.9
15.2,945,64.9,67.1
15.13,985,56.3,54.7
14.13,1010,60,54
18.54,1004,72,72
25.4,1485,35.2,19.6
27.7,1511,38.2,26.5
33.7,1462,32.8,37
28.74,1435,37.3,60
28.12,1499,70.6,51.4
30.31,1543,56,70
31.65,1565,68,48
16.5,1213,31,23.4
18,1227,56.8,26
19.5,1239,43.8,57.8
19.56,1236,62,39.3
18.12,1250,57.3,69.7
19.46,1293,47,52
20.73,1314,63,62
22.3,1328,22.2,35.1
24.2,1285,28.2,28.8
28.8,1203,21.6,42.7
31.44,1223,58.8,45.7
29.51,1273,57.5,35
28.95,1369,31,21
27.27,1385,71,44
14.9,1464,31.9,35.4
14.4,1480,46.4,41.3
14.2,1483,42.1,37.5
18.24,1489,61.2,24.4
16.43,1537,50.8,33.3
13.99,1594,49,43
16.14,1640,82,53
15.3,3430,29.7,32.9
16.2,3480,25.8,30.7
17.5,3615,51.5,43.3
21.35,3542,54.1,46.6
18.37,3555,64.7,51.3
20.26,3668,58,46
21.3,3716,75,56
24.7,1095,41,37.5
27.5,1134,38,19.3
30.9,1131,41.3,24.7
29.81,1085,46.3,41.2
34.69,1074,56,47.1
32.01,1064,55,39
32.48,1091,70,45
44.4,8225,25.6,17
45.2,8156,22.7,15.3
49.8,8120,34.5,25.9
55.87,7760,37,29.1
55.41,7723,41.8,27.1
58.57,7778,43,26
58.38,7657,57,32
18.8,3815,40.3,41.5
19.7,3833,49.2,43.6
19.2,3832,53.2,47.4
28.6,3759,60.8,51.9
28.43,453,62.6,58.8
30.82,474,65,56
30.88,469,79,65
46,12127,31.8,28.1
43.9,12105,30.6,28.2
46.4,12020,35.8,31.1
50.02,12260,41,33.2
48.72,12202,52,42.7
54.17,12141,54,47
55.44,12002,69,50
14.1,675,34.7,26.9
14.1,682,48.2,24.6
13.7,678,50.9,36.2
16.48,727,65.4,61.4
13.2,706,37,51.9
15.11,714,63,52
15.78,709,79,54
27.3,2669,42.7,41.5
30.7,2689,48.6,43.5
26.5,2686,54.6,51.8
33.86,2819,62.7,56.1
34.85,2962,53.8,55.4
38.15,2981,67,55
37.49,3051,81,67
23.2,1157,25,28.4
26.3,1179,33,38.6
24.8,1163,46.4,38.5
29.05,1164,65.4,39
29.3,1175,50,44.4
32.81,1206,54,57
34.38,1224,81,64
6.4,2559,47.1,53
6.7,2671,60.5,54.5
7.4,2749,59.5,56
7.31,2883,76.7,54.7
7.48,2882,69.5,60.9
8.54,2946,68,61
8.23,2949,84,81
21.4,3762,44.3,39.1
24.2,3566,45.8,42.5
25.8,3310,55.9,40.7
24.25,1727,58.7,65.3
26.69,1785,73,60.9
31.09,1845,75,58
28.17,1903,81,54
8.2,7904,67,58.6
8.6,8016,64.9,59.1
8.5,8238,61.2,65.1
9.65,8583,75.2,72.4
9.96,8650,74.4,76.4
9.86,8881,73,63
10.04,8990,86,73
8.4,978,33.3,47.5
7.8,1002,55.1,50
5.2,1011,52.4,56.5
5.44,1056,82.3,65.8
5.41,1087,65.9,69.8
5.95,1087,64,61
7.21,1112,89,89
14.2,2502,36.4,50.3
14.6,2585,56.3,51.1
14.6,2631,62.3,51
13.13,2611,74.6,51.7
13.21,2620,78.5,66.8
13.13,2699,76,67
14.26,2699,81,77
48.3,999,22.2,25
53.1,950,23.3,28.1
49.5,984,30.8,40.4
53.85,832,51.6,32.3
52.55,836,36.5,58.9
53.41,915,43,69
49.58,833,75,80
32.5,2197,38.6,28.8
34,2311,35.6,36.4
31.3,2139,40.4,38
35.2,2082,49.6,51.2
34.01,2119,47.3,53.2
34.41,2044,49,53
33.72,2053,67,54
53.7,30785,29,20.2
57.3,30596,28.7,20.8
58.2,29796,34.9,24.9
60.31,26737,43.3,26.9
64.48,26898,49.9,30.9
61.2,27428,39,27
65.27,26727,48,35
29.3,2075,32,48.4
39.4,2115,38.2,26.4
39.9,2192,39.2,31
44.21,2358,52.8,58.9
43.08,2352,70.2,51.8
43.13,2343,56,42
44.04,2350,72,57
12.2,3154,61.7,38.1
12.3,3210,56.7,45.1
13,3266,64.5,64.1
15.09,3223,76,64.7
13.03,3181,76.3,65
13.67,3342,80,61
13.74,3335,90,74
27.2,7242,35.7,29.5
28.6,6907,43.7,36.4
28.5,6550,44.5,44.2
29.84,5825,78.7,55.1
29.06,5612,80.6,58.1
26.4,5796,82,53
29.1,5677,77,60
12.2,1724,41.6,34
12.5,1816,46.5,56.4
13.2,1891,42.3,50.7
13.41,2059,77.1,65
12.95,2112,77.9,59.7
11.44,2184,75,49
13.35,2272,91,74
5.9,2365,46.6,37.4
8.4,2475,54.5,40.1
8.8,2516,64,45.2
10,2682,78.6,69.5
8.62,2747,86.7,81.2
8.24,2854,85,62
7.96,2927,93,67
20.1,2681,41.1,29.4
24.3,2746,58.5,52.1
24.3,2825,46.6,45.1
26.56,2846,72.2,48
30.41,2894,65.3,53.7
25.94,3020,64,39
26.71,3069,78,63
10.5,2028,43.1,31.3
11.9,1882,52,40.4
7.8,1837,46,49.6
9.1,1775,74.6,58.9
9.74,1881,63.6,60.8
10.47,1968,79,52
8.42,2083,92,73
1.7,2487,64.5,65.6
2.2,2529,75.9,79.6
2.3,2502,86.3,81.5
2.27,2524,90.7,82
1.94,2613,89.7,89
2.68,2669,77,85
2.96,2623,91,95
2.7,5822,86.2,72.4
2.6,6086,89,79.5
2.4,6344,87.4,84.1
2.76,6733,98.6,89.7
3.1,6915,97.2,92.7
2.71,7244,97,86
2.53,7545,98,95
33.1,2647,33.3,20.9
36.3,2480,40,22.7
40.7,2188,68.1,42.5
41.49,1209,90.1,40.4
39.13,1251,95.1,40.4
45.66,1235,91,42
47.94,1246,98,57
9.3,4500,66.6,49.3
10.7,4769,59.8,41.8
10.2,4967,69.7,59.2
9.97,5137,86.2,69.2
9.69,5291,89.7,77.7
10.13,5433,89,70
11.28,5649,94,81
31.5,1936,53.2,28.3
31.7,1991,43.8,44.5
29.6,2046,66.9,36
31.3,2119,67.9,49.4
28.37,2235,65.8,51.8
30.31,2280,75,46
26.79,2222,73,60
16.3,2702,36,42
19.6,2865,42.9,39
20.5,2969,52.2,42.1
21.06,2987,67.4,55.9
20.82,3021,72.2,51.2
21.73,3143,65,53
21.16,3188,68,61
21.9,1691,39.7,20.6
23.8,1744,29,16
22.3,1698,44.1,26.7
20.09,1539,52.7,52.8
19.48,1520,62.7,71.1
20.81,1538,59,52
22.38,1520,98,68
16.5,7275,48.3,41.7
19.1,7563,58,45.5
20.6,7839,61.1,52
21.01,8028,80.8,62.7
22.04,8246,77.6,68.9
23.64,8319,71,60
23.78,8453,82,75
12.2,3339,34.6,41.9
14.1,3376,48,44.4
12.2,3390,71.8,53.5
13.83,3274,72.5,59.8
14.85,3388,72.1,77
15.34,3506,83,73
16.96,3556,93,85
7.1,5715,51.1,42.8
9.3,5926,51.7,40.8
6.9,6048,65.8,45.3
9.56,6306,87.5,69.1
6.3,6520,85.9,69.9
7.45,6860,77,69
6.03,7024,93,78
25.9,3187,31.6,42.6
26.3,3272,37.5,42.4
23.1,3170,40.7,42.4
24.81,2953,67,76.6
26.76,2987,65.6,84
24.75,3114,49,77
25.14,3095,74,92
74.8,876,17.1,8.7
74.4,850,20,10.8
64.9,893,36.5,13.2
76.35,848,46.6,7.9
80.58,814,28.3,26.4
79.81,792,50,22
78.49,792,53,26
18.9,7990,40.6,34.9
18.9,7994,47.1,39.4
19.2,7959,63.6,47.9
18.5,7796,68.2,55.7
16.37,7868,65.4,56.7
15.63,7894,66,59
18.1,7555,77,70
13.9,1265,37.5,54.8
15.3,1313,40.4,42.9
11.1,1311,55.2,53.3
10.77,1356,68.2,58.7
10.99,1421,60.7,61.1
10.39,1426,68,56
9.19,1489,71,68
9.1,746,67.3,40.9
10.2,734,66,35.2
7.7,746,52.6,52.8
9.33,791,92.2,61.1
8.57,818,68.6,58.8
8.56,848,61,27
8.67,843,72,73
20.1,2283,36,29.7
20,2255,59.2,40.7
22.2,2273,65,43.6
26.23,2155,73.4,45
25.17,2213,74.2,70.6
25.6,2213,84,59
23.26,2207,93,66
21.2,2445,43.2,37.7
20.2,2428,42.5,34.4
20.7,2427,54.5,42.9
19.76,2399,66.5,52.5
19.86,2459,71.4,62.7
21.14,2572,68,53
19.27,2612,85,68
23.4,758,53.7,49.1
22.3,757,69,51.6
22.2,806,59.5,48.6
21.3,818,65,56.8
18.69,853,64.4,57.1
19.05,855,80,49
15.99,903,94,81
29.9,368,50,52.6
28.7,390,45,36.4
23.3,390,60.9,51.9
23.73,392,45.5,66.7
22.56,422,84.6,83.3
22.77,422,85,82
25.29,437,79,77
33.2,260,50,31.3
35.9,282,42.1,15.8
34.8,299,66.7,83.3
26.8,306,83.3,72.2
29.17,287,66.7,82.6
30.1,319,58,93
37.69,320,100,73
15.2,876,37.9,47.4
22.6,967,51.9,70.8
23.5,982,50,50.7
21.09,989,63.5,48.1
20.02,999,63.1,74
15.98,995,67,67
18.39,1072,70,78
26.4,5184,35.9,29.9
32.4,5045,39.7,30.3
32.2,5036,31.5,32.9
35.59,4782,58.8,53.1
32.3,4781,57.5,49.5
30.11,4722,55,50
31.79,4565,68,61
15.5,1219,33,43.6
18.5,1165,45.2,54.7
19.8,1188,38.3,46.3
20.69,1234,71.8,41.1
17.06,1259,48.5,56.6
17.95,1295,60,42
16.33,1298,70,59
16,1594,35.7,30.2
18.3,1551,46.3,18.7
17,1591,53,37.8
20.3,1577,57.6,43.2
18.87,1602,66.3,46.8
21.45,1610,60,42
18.67,1566,77,46
8,458,43.8,37.9
9.1,444,28.6,23.8
11,444,37.8,24.1
9.28,442,81.3,48.5
7.11,453,66.7,28.2
12.76,478,63,30
14,488,62,70
5.1,1150,38.5,46.2
3.4,1148,47.2,33.7
3.4,1142,48,37.9
5.53,1215,62.9,61.8
3.36,1223,74.4,65.9
3.85,1225,62,61
6.49,1250,63,66
16.1,408,17.1,40.6
16.4,412,22.2,25.8
22.5,406,37.5,40.9
22.11,410,42.9,37.8
18.81,420,50,61.1
12.17,411,46,65
16.02,411,27,63
22.9,1241,20.3,14.3
24.9,1285,27.1,26
20.6,1247,25.3,31.1
20.54,1261,51.3,36
19.17,1221,40,41.2
22.54,1261,37,29
24.51,1232,77,59
33.2,633,14.9,20.9
38.1,624,52.5,34.8
40.9,621,41.7,42.9
39.29,635,59.5,37.8
36.4,682,40,51.4
45.09,812,61,45
43.17,871,81,46
26.7,1081,31.3,11.4
28.3,1047,21.1,23
28,1012,33.8,41.2
28.64,985,50,45.6
28.48,997,53.8,50
27.59,1023,53,50
26.84,980,59,83
12.5,1652,35,31.7
14.8,1647,30.5,42.3
12.4,1637,57.4,58.6
10.74,1667,62.5,61.3
10.58,1699,70.8,53.1
10.28,1746,64,57
10.3,1781,83,64
22.8,941,40,42.6
25.9,914,35.3,30.8
23.5,912,50,36.6
20.43,922,45.3,50.7
21.54,940,64.9,51.4
21.08,983,72,37
21.89,977,80,43
11.4,3132,42.1,37.9
12.6,3084,50,33.8
10.9,3053,48.1,44.4
11.92,3055,61.9,48
11.19,3106,58.2,57.8
11.35,3160,58,44
12.62,3176,76,64
5.4,5750,65.3,50.7
5.6,5900,61.1,55.9
5.7,6154,58.3,58.9
5.14,6410,78.8,64.9
6.22,6550,78.1,67.9
4.73,6673,71,65
4.48,6663,83,79
17.1,2561,35.3,37
14.8,2670,32.7,34.4
15.7,2779,67.4,51
15.43,2508,67.8,58.5
16.37,2652,65.3,63.5
17.91,2818,57,45
18.85,2919,65,58
2.9,3255,41.4,46.4
3.6,3358,58.6,43.4
3.8,3383,76.1,59.8
4.87,3575,86.3,66.7
3.89,3719,83,69.3
3.1,3792,80,70
3.01,3969,95,78
6.3,5673,44.4,47.9
8,5805,55.4,49.5
8.3,5949,66.5,57.8
9.69,6098,75.3,62.7
9.17,6251,75,72.1
9.65,6512,78,62
10.05,6705,81,72
5.9,3593,46.5,44.9
6.3,3691,43.5,42.1
5.8,3854,64.8,56.3
6.03,3951,69.7,69
6.33,4142,70,63.4
3.45,4415,62,57
4.4,4520,76,60
42,1325,22.5,20.8
42.3,1244,28.9,26
46.9,1233,34.5,36.9
45.39,1245,40.5,36
42.41,1276,38.8,45.7
41.67,1260,32,38
43.51,1230,67,46
37.6,1105,25.4,36.1
39.6,1083,50.9,32.8
42.2,1047,40,46.9
37.3,893,52.5,38.9
41.46,878,50.8,70.3
38.82,864,55,38
44,872,64,56
40.7,432,21.2,34.6
38.7,434,36.7,50
40.5,407,48.3,67.9
41.8,433,46.7,47.1
46.4,438,60.5,62.5
43.74,439,63,64
50.45,440,97,58
42.7,349,15.8,50
46.2,358,22.6,33.3
50.6,362,45.5,52.8
53.87,371,47.8,41.7
49.42,343,43.8,36.4
46.55,334,50,74
45.72,339,60,61
42.2,160,46.2,73.3
42.4,171,42.9,75
44.4,174,36.4,76.9
34.58,123,58.8,64.7
31.48,124,36.4,73.3
34.82,129,77,82
44.83,129,71,78
8.3,77,25,71.4
6.9,70,42.9,57.1
10.2,88,75,80
11.24,89,80,66.7
12,101,81.8,42.9
13.33,95,100,50
16.47,93,100,100
16.6,5684,38.7,29.6
18.4,5669,43.6,36.9
16.2,520,52.9,43.5
15.99,5503,68.6,56.9
15,566,74,64
16.47,586,71,61
16.82,5543,84,73
26.1,2527,27.2,31.1
28.1,2517,35.7,65.4
28.7,2554,37.3,51.2
27.86,2603,63.4,76.3
27.88,2675,62.4,78.8
31.09,2708,52,75
31.99,2712,78,76
14.5,9212,51.1,34.1
18.9,9044,43.7,40.3
19.2,8370,50.3,28.9
24.93,6786,62.8,54.1
26.34,6784,74,52
27.38,6836,72,52
29.21,6860,90,74
21.9,6173,29.6,17.7
25.9,6220,44.6,22.3
26.7,6142,44.1,26.1
25.96,6278,73.7,50.1
25.76,6293,82.6,52.3
26.05,6333,72,39
27.1,6329,83,66
12.8,4390,38.6,25.3
15.3,4350,44.6,37.7
15.1,4513,54.1,42.2
18.76,4410,68.3,50
16.7,4519,64.4,49.7
16.71,4644,58,69
17.76,4830,65,69
6.5,1856,31.1,32.3
5.2,1743,46.8,32.2
4,1677,49.5,51.7
5.04,1639,71.6,54.3
4.97,1680,69.8,63.8
6.47,1711,65,62
6.47,1761,75,85
25,4043,38.5,17.3
29,4274,24.2,15.4
34.3,4151,66.7,65.3
31.57,2761,73.9,68.6
28.64,2955,83.9,89.8
31.8,2887,70,88
30.05,3034,88,90
4.6,9325,45.8,42.3
5.2,9502,54.5,58.1
5.2,9583,57.7,55.7
5.75,9736,70.2,74.6
3.11,9980,72.8,80.7
6.58,10248,68,76
6.64,10795,84,85
26.1,2840,37.6,18.2
29.8,2928,26.4,27.4
30.1,2903,45.7,33.7
30.45,3080,65.3,41.2
30.84,3101,65.6,45.7
30.17,3160,47,37
37.22,3171,76,47
12.5,4495,49.9,31.2
13.1,4521,60.1,34.5
14.6,4516,70.6,38.4
12.97,4654,74.9,56
15.14,4778,79.6,63.1
14.29,4851,79,54
12.63,4781,89,69
7.3,3146,35.5,25.8
11.5,3107,43.6,29
14.6,2955,38.8,40.2
13.85,3230,65.9,50.2
14.7,3250,69.5,61.5
9.13,3355,68,45
8.5,3348,85,73
8.5,2636,47.2,46.7
9.5,2674,51.5,50.2
9.8,2685,74.8,45.6
10.52,2761,79.7,55.6
8.74,2806,80.4,58.4
8.72,2809,83,66
8.18,2795,86,72
12.2,7881,47.9,29.3
14.9,8201,57.3,39
15.3,8432,74.5,53.7
14.58,9172,78.5,59.5
14.44,9237,71.2,65.7
12.65,9727,75,60
13.62,9991,88,72
43.8,5349,28.4,24.1
51.5,4709,39.9,33.3
50.5,4617,48.2,47.6
42.53,3132,70.1,47.4
41.3,3162,60.8,51.7
41.12,3198,51,47
41.14,3378,65,57
30.3,1073,19.8,17.1
25.2,1072,43.5,22.2
30.7,1016,33.3,16.1
29.34,1029,40.2,17.6
29.11,1089,36.2,68.9
32.33,1109,33,46
31.29,1127,49,44
9.3,1761,24.5,35.6
9.5,1789,28.9,27.7
9.7,1810,35.1,43.9
11.83,1753,65.7,44.7
10.77,1754,44.3,52.4
9.56,1768,58,48
10.08,1774,78,71
8.7,4192,37.5,27.3
10.2,4242,51.1,39.1
10.9,4381,60,50.3
9.28,4499,70.2,55.6
8.77,4745,79.2,73.1
10.29,4903,74,64
11.4,5013,85,71
16,2096,42.3,38.1
15.3,2170,36.2,58.3
16.3,2189,46.6,63.3
16.65,2248,73.7,65.2
16.18,2306,70.1,59.3
16.16,2278,78,67
15.12,2301,80,76
5.5,22744,44,41
6.2,23035,44.9,43.4
6.3,23310,56.2,51.7
7.17,24649,70.2,57.9
6.75,25028,77.8,72.2
7.12,25635,76,70
6.76,26081,87,77
43.4,7589,37,15.4
45.1,6931,40.2,18.7
44.2,6360,43,20.1
47.09,4392,46.6,26.2
52.79,4384,60.5,43
53.76,4538,69,35
56.3,4476,85,54
7.3,13719,40.2,38.5
9.2,13684,41.7,41.1
9.6,13531,57.4,49.4
10.64,13973,64.3,59.5
11.85,14063,83.2,60.4
13.51,14132,76,64
